09-05 22:49:17.599: D/org.mmarini.briscola.VirtualAIStartState(19395): TWO SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.033384256811015145, loss=0.0011947431302270011, bestCard=TWO SWORDS]
09-05 22:49:17.609: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:17.679: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:17.679: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:17.689: D/org.mmarini.briscola.VirtualAIStartState(19395): TWO SWORDS vs KNIGHT CLUBS = Estimation [confident=false, win=0.033384256811015145, loss=0.04918032786885246, bestCard=TWO SWORDS]
09-05 22:49:17.699: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:17.709: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:17.719: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:17.919: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:17.929: D/org.mmarini.briscola.VirtualAIStartState(19395): TWO SWORDS vs KING CLUBS = Estimation [confident=false, win=0.033384256811015145, loss=0.06557377049180328, bestCard=TWO SWORDS]
09-05 22:49:17.939: D/org.mmarini.briscola.VirtualAIStartState(19395): TWO SWORDS vs THREE CLUBS = Estimation [confident=false, win=0.033384256811015145, loss=0.16393442622950818, bestCard=TWO SWORDS]
09-05 22:49:17.999: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:18.009: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:18.019: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:18.029: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:18.039: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:18.049: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:18.119: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:18.119: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:18.129: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:18.149: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:18.199: D/org.mmarini.briscola.VirtualAIStartState(19395): TWO SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.033384256811015145, loss=0.0011947431302270011, bestCard=TWO SWORDS]
09-05 22:49:18.219: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:18.229: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:18.239: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:18.249: D/org.mmarini.briscola.VirtualAIStartState(19395): TWO SWORDS vs KNIGHT CLUBS = Estimation [confident=false, win=0.033384256811015145, loss=0.04918032786885246, bestCard=TWO SWORDS]
09-05 22:49:18.249: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:18.269: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
09-05 22:49:18.319: D/org.mmarini.briscola.VirtualAIStartState(19395): ACE SWORDS vs SEVEN CUPS = Estimation [confident=false, win=0.21371212566347414, loss=0.0, bestCard=ACE SWORDS]
